Purpose and category,,,
,,,
Row Labels,Business,Personal,Grand Total
Airport/Travel,54,,54
Between Offices,18,,18
Charity ($),,1,1
Commute,,1,1
Customer Visit,144,11,155
Errand/Supplies,159,14,173
Meal/Entertain,227,18,245
Meeting,280,16,296
Moving,,4,4
Temporary Site,184,10,194
Grand Total,1066,75,1141
,,,
Trips by Hour (Peak Time Analysis) - Count of Trips,,,
,,,
Row Labels,Count of MILES,,
0,19,,
1,5,,
2,2,,
3,3,,
5,4,,
6,4,,
7,13,,
8,35,,
9,51,,
10,65,,
11,72,,
12,77,,
13,94,,
14,89,,
15,98,,
16,88,,
17,95,,
18,94,,
19,68,,
20,71,,
21,50,,
22,30,,
23,14,,
Grand Total,1141,,
,,,
Pivot Table 2: Revenue by Month (Sum of Miles),,,
,,,
Row Labels,Sum of MILES,,
Jan,825.430486,,
April,1559.45046,,
Feb,1457.25737,,
Mar,2402.583686,,
May,564.717406,,
Aug,2149.27357,,
Sep,653.713908,,
Oct,2885.54662,,
Nov,1314.669846,,
Dec,1579.245342,,
June,1276.689422,,
July,1924.931574,,
Grand Total,18593.50969,,
,,,
Pivot Table 3: Trips by Day (Count of Trips),,,
,,,
Row Labels,Count of MILES,,
Sunday,147,,
Monday,174,,
Tuesday,173,,
Wednesday,146,,
Thursday,153,,
Friday,202,,
Saturday,146,,
Grand Total,1141,,
,,,
Pivot Table 4: Top Pickup Locations (Count of Trips),,,
,,,
Row Labels,Count of MILES,,
Agnew,4,,
Almond,1,,
Apex,17,,
Arabi,1,,
Arlington,1,,
Arlington Park at Amberly,1,,
Asheville,2,,
Austin,1,,
Banner Elk,8,,
Berkeley,16,,
Boone,2,,
Briar Meadow,1,,
Bryson City,5,,
Burtrose,1,,
Capitol One,2,,
Cary,201,,
CBD,4,,
Central,8,,
Chalmette,1,,
Chapel Hill,2,,
Chessington,2,,
College Avenue,1,,
Colombo,8,,
Columbia Heights,1,,
Congress Ave District,1,,
Connecticut Avenue,1,,
Convention Center District,1,,
Cory,1,,
Couples Glen,2,,
Covington,6,,
Coxville,1,,
Daytona Beach,1,,
Downtown,9,,
Durham,30,,
Eagan Park,1,,
Eagle Rock,1,,
East Austin,1,,
East Elmhurst,1,,
East Harlem,1,,
Eastgate,1,,
Edgehill Farms,8,,
El Cerrito,1,,
Elk Park,1,,
Elmhurst,1,,
Emeryville,10,,
Fairmont,1,,
Farmington Woods,2,,
Fayetteville Street,3,,
Financial District,1,,
Flatiron District,1,,
Florence,1,,
Fort Pierce,5,,
Fuquay-Varina,1,,
Galveston,2,,
Gampaha,1,,
Georgian Acres,1,,
Gulfton,1,,
Hayesville,1,,
Hazelwood,7,,
Hell's Kitchen,1,,
Heritage Pines,2,,
Holly Springs,2,,
Houston,5,,
Hudson Square,2,,
Huntington Woods,3,,
Ingleside,1,,
Islamabad,57,,
Jackson Heights,1,,
Jacksonville,1,,
Jamaica,2,,
Jamestown Court,1,,
K Street,2,,
Kalorama Triangle,3,,
Kar?chi,27,,
Karachi,4,,
Katunayaka,2,,
Katunayake,1,,
Katy,1,,
Kenner,11,,
Kilarney Woods,2,,
Kissimmee,11,,
Krendle Woods,1,,
Lahore,36,,
Lake Reams,2,,
Lake Wellingborough,1,,
Lakeview,1,,
Latta,1,,
Lexington Park at Amberly,2,,
Long Island City,1,,
Lower Garden District,1,,
Lower Manhattan,1,,
Mandeville,2,,
Marigny,1,,
Mcvan,1,,
Mebane,1,,
Medical Centre,1,,
Menlo Park,3,,
Meredith,1,,
Meredith Townes,3,,
Metairie,4,,
Midtown,14,,
Midtown East,1,,
Morrisville,84,,
Mountain View,1,,
New Orleans,10,,
New York,4,,
Newark,2,,
Newland,2,,
NOMA,1,,
Noorpur Shahan,5,,
North Austin,1,,
North Berkeley Hills,1,,
Northwoods,3,,
Nugegoda,1,,
Oakland,7,,
Old City,2,,
Orlando,8,,
Palo Alto,2,,
Parkway,5,,
Parkwood,1,,
Pontchartrain Beach,1,,
Pontchartrain Shores,2,,
Port Bolivar,3,,
Preston,6,,
R?walpindi,11,,
Raleigh,28,,
Rawalpindi,5,,
Red River District,1,,
Redmond,1,,
Renaissance,2,,
Rose Hill,1,,
San Francisco,8,,
San Jose,2,,
Sand Lake Commons,1,,
Santa Clara,1,,
Savon Height,4,,
Seaport,1,,
Seattle,1,,
Sharpstown,5,,
Sky Lake,1,,
Soho,1,,
SOMISSPO,2,,
South,2,,
South Berkeley,1,,
South Congress,5,,
Southside,4,,
St Thomas,1,,
Stonewater,1,,
Storyville,2,,
Sugar Land,1,,
Summerwinds,1,,
Sunnyside,1,,
Sunnyvale,1,,
Tanglewood,4,,
Tenderloin,1,,
The Drag,7,,
Topton,2,,
Townes at Everett Crossing,1,,
Tribeca,1,,
University District,1,,
Unknown Location,146,,
Wake Co.,1,,
Wake Forest,1,,
Washington,1,,
Washington Avenue,1,,
Waverly Place,4,,
Wayne Ridge,4,,
West Berkeley,5,,
West End,1,,
West Palm Beach,2,,
West University,2,,
Weston,2,,
Westpark Place,17,,
Whitebridge,68,,
Winston Salem,1,,
Grand Total,1141,,
