start_date,start_hour,start_minute,end_date,end_hour,end_minute,month,year,CATEGORY,START,STOP,MILES,PURPOSE,duration,speed,day,day_time
01-01-2016,21,11,01-01-2016,21,17,Jan,2016,Business,Fort Pierce,Fort Pierce,8.207634,Meal/Entertain,6,82.07634,Friday,Evening
02-01-2016,1,25,02-01-2016,1,37,Jan,2016,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12,40.2335,Saturday,Night
02-01-2016,20,25,02-01-2016,20,38,Jan,2016,Business,Fort Pierce,Fort Pierce,7.724832,Errand/Supplies,13,35.65307077,Saturday,Evening
05-01-2016,17,31,05-01-2016,17,45,Jan,2016,Business,Fort Pierce,Fort Pierce,7.563898,Meeting,14,32.41670571,Tuesday,Afternoon
06-01-2016,14,42,06-01-2016,15,49,Jan,2016,Business,Fort Pierce,West Palm Beach,102.514958,Customer Visit,67,91.80444,Wednesday,Afternoon
06-01-2016,17,15,06-01-2016,17,19,Jan,2016,Business,West Palm Beach,West Palm Beach,6.920162,Meal/Entertain,4,103.80243,Wednesday,Afternoon
06-01-2016,17,30,06-01-2016,17,35,Jan,2016,Business,West Palm Beach,Palm Beach,11.426314,Meeting,5,137.115768,Wednesday,Afternoon
07-01-2016,13,27,07-01-2016,13,33,Jan,2016,Business,Cary,Cary,1.287472,Meeting,6,12.87472,Thursday,Afternoon
10-01-2016,8,5,10-01-2016,8,25,Jan,2016,Business,Cary,Morrisville,13.357522,Meeting,20,40.072566,Sunday,Morning
10-01-2016,12,17,10-01-2016,12,44,Jan,2016,Business,Jamaica,New York,26.55411,Customer Visit,27,59.00913333,Sunday,Morning
10-01-2016,15,8,10-01-2016,15,51,Jan,2016,Business,New York,Queens,17.380872,Meeting,43,24.25237953,Sunday,Afternoon
10-01-2016,18,18,10-01-2016,18,53,Jan,2016,Business,Elmhurst,New York,12.07005,Meeting,35,20.69151429,Sunday,Afternoon
10-01-2016,19,12,10-01-2016,19,32,Jan,2016,Business,Midtown,East Harlem,9.977908,Meeting,20,29.933724,Sunday,Evening
11-01-2016,8,55,11-01-2016,9,21,Jan,2016,Business,East Harlem,NoMad,10.299776,Temporary Site,26,23.76871385,Monday,Morning
11-01-2016,11,56,11-01-2016,12,3,Jan,2016,Business,Flatiron District,Midtown,2.574944,Errand/Supplies,7,22.07094857,Monday,Morning
11-01-2016,13,32,11-01-2016,13,46,Jan,2016,Business,Midtown,Midtown East,2.735878,Meal/Entertain,14,11.72519143,Monday,Afternoon
11-01-2016,14,30,11-01-2016,14,43,Jan,2016,Business,Midtown East,Midtown,3.057746,Meal/Entertain,13,14.11267385,Monday,Afternoon
12-01-2016,12,33,12-01-2016,12,49,Jan,2016,Business,Midtown,Hudson Square,3.057746,Meal/Entertain,16,11.4665475,Tuesday,Morning
12-01-2016,12,53,12-01-2016,13,9,Jan,2016,Business,Hudson Square,Lower Manhattan,6.43736,Meal/Entertain,16,24.1401,Tuesday,Morning
12-01-2016,14,42,12-01-2016,14,56,Jan,2016,Business,Lower Manhattan,Hudson Square,2.896812,Errand/Supplies,14,12.41490857,Tuesday,Afternoon
12-01-2016,15,13,12-01-2016,15,28,Jan,2016,Business,Hudson Square,Hell's Kitchen,3.862416,Customer Visit,15,15.449664,Tuesday,Afternoon
12-01-2016,15,42,12-01-2016,15,54,Jan,2016,Business,Hell's Kitchen,Midtown,3.21868,Errand/Supplies,12,16.0934,Tuesday,Afternoon
12-01-2016,16,2,12-01-2016,17,0,Jan,2016,Business,New York,Queens County,24.301034,Meeting,58,25.13900069,Tuesday,Afternoon
13-01-2016,13,54,13-01-2016,14,7,Jan,2016,Business,Downtown,Gulfton,18.024608,Meeting,13,83.19049846,Wednesday,Afternoon
